20 20
cow path path path path path path path stone ground stone stone stone ground stone stone stone stone ground ground 
stone stone stone stone stone ground ground path path stone ground ground stone stone stone ground ground stone stone stone 
ground stone stone stone stone ground ground ground path path path path ground ground stone ground ground ground stone ground 
ground stone ground stone ground ground ground ground stone stone ground path ground stone stone ground stone ground stone ground 
ground stone ground stone stone stone stone stone stone stone stone path stone ground stone ground stone stone ground stone 
stone ground ground ground ground ground ground ground stone stone ground path ground ground stone stone stone stone ground stone 
stone ground stone ground ground stone stone ground ground stone stone path ground ground stone ground stone stone stone ground 
stone stone stone stone stone stone stone ground stone ground stone path ground stone ground ground stone ground ground ground 
ground stone ground stone stone ground ground stone stone ground stone path ground ground stone stone ground ground ground ground 
stone ground stone ground stone stone ground stone ground stone ground path ground stone ground ground stone ground ground stone 
stone ground stone ground stone ground ground stone stone stone stone path stone ground ground stone stone stone ground stone 
stone ground stone stone stone stone ground ground ground stone ground path stone ground stone stone ground stone ground ground 
stone ground ground ground stone stone ground stone ground stone stone path stone stone stone stone ground ground stone ground 
ground ground stone stone ground ground stone ground stone ground stone path path path path path ground stone ground ground 
stone ground stone stone ground ground ground stone stone stone ground stone ground ground ground path stone ground ground ground 
stone stone ground ground ground stone ground ground ground stone ground stone ground ground stone path stone stone ground ground 
ground ground ground stone ground ground stone stone ground stone ground stone stone stone ground path path path stone ground 
ground stone stone ground stone stone ground stone ground stone stone ground ground ground stone ground ground path path path 
ground ground ground ground ground stone ground ground ground stone ground stone stone ground ground stone ground ground ground path 
ground ground ground ground ground ground ground stone stone ground ground stone ground ground stone ground ground stone ground mush 
